source,architecture,prompt_level,n_conversations,CED,min_distance,max_distance,topic,condition
SB,SB,SB,2,0.08159612620896423,0.08159612620896406,0.08159612620896439,BUYING A CAR,SB
LLM,C1,P0,2,0.09384399146046069,0.09384399146046063,0.09384399146046074,Buying A Car,C1-P0
LLM,C2,P0,2,0.16642136681171688,0.16642136681171682,0.16642136681171693,Buying A Car,C2-P0
LLM,C3,P0,2,0.12995099156151663,0.12995099156151657,0.12995099156151668,Buying A Car,C3-P0
LLM,C4,P0,2,0.1148466794316399,0.11484667943163984,0.11484667943163995,Buying A Car,C4-P0
SB,SB,SB,2,0.09408653761744379,0.09408653761744379,0.09408653761744379,CAPITAL PUNISHMENT,SB
SB,SB,SB,5,0.11716543739739653,0.0867534769120325,0.1519526917344718,CARE OF THE ELDERLY,SB
SB,SB,SB,2,0.06344773191968978,0.06344773191968966,0.06344773191968989,CHILD CARE,SB
SB,SB,SB,4,0.10823413835910936,0.1005476304580395,0.11242590960333432,CRIME,SB
LLM,C1,P0,2,0.13520132471273505,0.13520132471273505,0.13520132471273505,Capital Punishment,C1-P0
LLM,C2,P0,2,0.07104595521696111,0.07104595521696111,0.07104595521696111,Capital Punishment,C2-P0
LLM,C3,P0,2,0.15403715133355855,0.15403715133355855,0.15403715133355855,Capital Punishment,C3-P0
LLM,C4,P0,2,0.08774721130846697,0.08774721130846697,0.08774721130846697,Capital Punishment,C4-P0
LLM,C1,P0,5,0.17480949581914762,0.14123361452745842,0.20360501918878415,Care Of The Elderly,C1-P0
LLM,C2,P0,5,0.23459798438385474,0.20326423710554042,0.29951980717818427,Care Of The Elderly,C2-P0
LLM,C3,P0,5,0.24483072485577234,0.19527736138792917,0.3230011445824926,Care Of The Elderly,C3-P0
LLM,C4,P0,5,0.13878777464237785,0.11317833490658646,0.16288955512565118,Care Of The Elderly,C4-P0
LLM,C1,P0,2,0.12876865500303614,0.12876865500303614,0.12876865500303614,Child Care,C1-P0
LLM,C2,P0,2,0.12752290330661653,0.12752290330661642,0.12752290330661664,Child Care,C2-P0
LLM,C3,P0,2,0.14779799940293065,0.1477979994029306,0.1477979994029307,Child Care,C3-P0
LLM,C4,P0,2,0.08800382945067342,0.08800382945067342,0.08800382945067342,Child Care,C4-P0
LLM,C1,P0,4,0.15009348731953204,0.14864353580725176,0.1521608595552869,Crime,C1-P0
LLM,C2,P0,4,0.18065200415855273,0.17008885761844827,0.1992151282706529,Crime,C2-P0
LLM,C3,P0,4,0.18588234642119983,0.16096259866264806,0.22013300107657963,Crime,C3-P0
LLM,C4,P0,4,0.15017581375555097,0.13554665087856488,0.18379138492822278,Crime,C4-P0
SB,SB,SB,2,0.06660249798775164,0.06660249798775153,0.06660249798775175,DRUG TESTING,SB
LLM,C1,P0,2,0.11063502859876823,0.11063502859876806,0.11063502859876839,Drug Testing,C1-P0
LLM,C2,P0,2,0.0990553869784977,0.0990553869784977,0.0990553869784977,Drug Testing,C2-P0
LLM,C3,P0,2,0.1296522184550858,0.1296522184550858,0.1296522184550858,Drug Testing,C3-P0
LLM,C4,P0,2,0.09339734745826883,0.09339734745826878,0.09339734745826889,Drug Testing,C4-P0
SB,SB,SB,5,0.09430826219644314,0.06708812006257514,0.11522045192049679,FAMILY FINANCE,SB
LLM,C1,P0,5,0.20942394901457387,0.188830737385405,0.22075632052624516,Family Finance,C1-P0
LLM,C2,P0,5,0.2459480504531582,0.2189988059081528,0.2833041556332593,Family Finance,C2-P0
LLM,C3,P0,5,0.24998981869242456,0.21392677834394702,0.3010232527017429,Family Finance,C3-P0
LLM,C4,P0,5,0.16552726180815822,0.11142869283636792,0.20775662448135623,Family Finance,C4-P0
SB,SB,SB,5,0.106552959862325,0.07669059778597609,0.14394042612256508,JOB BENEFITS,SB
LLM,C1,P0,5,0.17052189882006188,0.139495630227924,0.2254326915782876,Job Benefits,C1-P0
LLM,C2,P0,5,0.2351113862248913,0.22543823575873922,0.24734613035161312,Job Benefits,C2-P0
LLM,C3,P0,5,0.2056331708375784,0.18572323668832647,0.23807365491847754,Job Benefits,C3-P0
LLM,C4,P0,5,0.1416927974643372,0.1133842031955492,0.16329612725958598,Job Benefits,C4-P0
SB,SB,SB,2,0.05685540086422691,0.0568554008642268,0.056855400864227024,MUSIC,SB
LLM,C1,P0,2,0.15139193610075957,0.15139193610075952,0.15139193610075963,Music,C1-P0
LLM,C2,P0,2,0.12650456427273477,0.1265045642727347,0.12650456427273482,Music,C2-P0
LLM,C3,P0,2,0.11781005228897495,0.1178100522889749,0.11781005228897501,Music,C3-P0
LLM,C4,P0,2,0.13033566326350077,0.13033566326350077,0.13033566326350077,Music,C4-P0
SB,SB,SB,4,0.10617665060093151,0.09709928895682296,0.1186828420613385,NEWS MEDIA,SB
LLM,C1,P0,4,0.15006819220486184,0.11294479779973032,0.18355261618467245,News Media,C1-P0
LLM,C2,P0,4,0.17461632535942662,0.16672642797588566,0.18916140349268284,News Media,C2-P0
LLM,C3,P0,4,0.22107507977009613,0.19658451969440516,0.25905070778471784,News Media,C3-P0
LLM,C4,P0,4,0.15824407171955926,0.12152279411325784,0.18585569729885087,News Media,C4-P0
SB,SB,SB,3,0.1270056030751904,0.12324674013559789,0.1290682485823912,RECYCLING,SB
LLM,C1,P0,3,0.09690525140351562,0.08826937545222902,0.10536445262928218,Recycling,C1-P0
LLM,C2,P0,3,0.1251259766427755,0.11423855319978926,0.13351874879968262,Recycling,C2-P0
LLM,C3,P0,3,0.17494113370192566,0.16562604331911746,0.18121930203483905,Recycling,C3-P0
LLM,C4,P0,3,0.12114337370549422,0.1093992340315526,0.14383631618885506,Recycling,C4-P0
SB,SB,SB,2,0.1263687779463742,0.12636877794637413,0.12636877794637424,TAXES,SB
SB,SB,SB,6,0.16193917717812342,0.12202937976988759,0.2119502242310094,TRIAL BY JURY,SB
LLM,C1,P0,2,0.15042147771725867,0.15042147771725856,0.15042147771725878,Taxes,C1-P0
LLM,C2,P0,2,0.17624756644767547,0.17624756644767547,0.17624756644767547,Taxes,C2-P0
LLM,C3,P0,2,0.17879734661083563,0.17879734661083557,0.17879734661083568,Taxes,C3-P0
LLM,C4,P0,2,0.13169046258114248,0.13169046258114236,0.1316904625811426,Taxes,C4-P0
LLM,C1,P0,6,0.22975116952139535,0.18259540368557248,0.27521094451729244,Trial By Jury,C1-P0
LLM,C2,P0,6,0.2632608151044353,0.2346032936698309,0.3168559137641097,Trial By Jury,C2-P0
LLM,C3,P0,6,0.2679241304128954,0.21254194325802345,0.32531701841797755,Trial By Jury,C3-P0
LLM,C4,P0,6,0.2005257161997599,0.1332732383383457,0.24491813433390008,Trial By Jury,C4-P0
